target,run_seed,generation,best_fitness,mean_fitness,best_length,mean_length
nguyen3,2,0,0.818623,0.148207,8,8
nguyen3,2,1,0.818623,0.299421,8,7.999
nguyen3,2,2,0.818623,0.376602,9,8
nguyen3,2,3,0.818623,0.399714,9,8.033
nguyen3,2,4,0.818623,0.423787,8,8.071
nguyen3,2,5,0.818623,0.451778,8,8.13
nguyen3,2,6,0.818623,0.502972,8,8.205
nguyen3,2,7,0.818623,0.611739,7,8.163
nguyen3,2,8,0.818623,0.683556,8,8.257
nguyen3,2,9,0.818623,0.718627,10,8.28
nguyen3,2,10,0.818623,0.711694,8,8.264
nguyen3,2,11,0.818623,0.717992,8,8.326
nguyen3,2,12,0.818623,0.710261,8,8.38
nguyen3,2,13,0.818623,0.729439,7,8.545
nguyen3,2,14,0.818623,0.723888,10,8.566
nguyen3,2,15,0.818623,0.719041,8,8.671
nguyen3,2,16,0.818623,0.724003,7,8.741
nguyen3,2,17,0.818623,0.713626,8,8.685
nguyen3,2,18,0.818623,0.718235,8,8.7
nguyen3,2,19,0.818623,0.719364,9,8.735
nguyen3,2,20,0.818623,0.726278,8,8.828
nguyen3,2,21,0.818623,0.727126,8,8.862
nguyen3,2,22,0.818623,0.710243,10,8.772
nguyen3,2,23,0.818623,0.716651,8,8.86
nguyen3,2,24,0.818623,0.727443,7,8.749
nguyen3,2,25,0.818623,0.713681,9,8.76
nguyen3,2,26,0.818623,0.714363,8,8.834
nguyen3,2,27,0.818623,0.724933,8,8.887
nguyen3,2,28,0.818623,0.717425,9,8.899
nguyen3,2,29,0.818623,0.735153,7,8.924
nguyen3,2,30,0.818623,0.736789,8,8.868
nguyen3,2,31,0.818623,0.719963,7,8.933
nguyen3,2,32,0.818623,0.723526,8,8.976
nguyen3,2,33,0.818623,0.723055,9,9.079
nguyen3,2,34,0.818623,0.71658,8,9.052
nguyen3,2,35,0.818623,0.730784,10,8.975
nguyen3,2,36,0.818623,0.724674,8,9.061
nguyen3,2,37,0.818623,0.728983,9,8.932
nguyen3,2,38,0.818623,0.718407,8,8.946
nguyen3,2,39,0.818623,0.725776,10,8.855
nguyen3,2,40,0.818623,0.734991,8,8.851
nguyen3,2,41,0.818623,0.729609,8,8.805
nguyen3,2,42,0.818623,0.710733,8,8.734
nguyen3,2,43,0.818623,0.718111,8,8.698
nguyen3,2,44,0.818623,0.723653,8,8.703
nguyen3,2,45,0.818623,0.716314,6,8.736
nguyen3,2,46,0.818623,0.723559,9,8.736
nguyen3,2,47,0.818623,0.723335,7,8.669
nguyen3,2,48,0.818623,0.717113,8,8.681
nguyen3,2,49,0.818623,0.711378,8,8.764
nguyen3,2,50,0.818623,0.714302,9,8.788
nguyen3,2,51,0.818623,0.72341,8,8.695
nguyen3,2,52,0.818623,0.730896,9,8.766
nguyen3,2,53,0.818623,0.721376,8,8.771
nguyen3,2,54,0.818623,0.72856,8,8.753
nguyen3,2,55,0.818623,0.718163,11,8.864
nguyen3,2,56,0.818623,0.72713,8,8.815
nguyen3,2,57,0.818623,0.725885,8,8.859
nguyen3,2,58,0.818623,0.724339,9,8.913
nguyen3,2,59,0.818623,0.729432,8,8.912
nguyen3,2,60,0.862771,0.717336,8,8.896
nguyen3,2,61,0.862771,0.717972,8,8.914
nguyen3,2,62,0.862771,0.716696,8,9.139
nguyen3,2,63,0.862771,0.711723,14,9.274
nguyen3,2,64,0.862771,0.7237,7,9.268
nguyen3,2,65,0.905718,0.709057,6,9.313
nguyen3,2,66,0.905718,0.698649,10,9.43
nguyen3,2,67,0.913321,0.685542,9,9.584
nguyen3,2,68,0.930646,0.697884,7,9.635
nguyen3,2,69,0.930646,0.705936,7,9.756
nguyen3,2,70,0.930646,0.722953,13,9.888
nguyen3,2,71,0.930646,0.712309,7,9.985
nguyen3,2,72,0.930646,0.731852,7,10.372
nguyen3,2,73,0.930646,0.719099,13,10.373
nguyen3,2,74,0.930646,0.736828,13,10.497
nguyen3,2,75,0.930646,0.752644,7,10.527
nguyen3,2,76,0.930646,0.742265,7,10.728
nguyen3,2,77,0.930646,0.742719,7,10.926
nguyen3,2,78,0.930646,0.746259,10,11.158
nguyen3,2,79,0.930646,0.762886,16,11.136
nguyen3,2,80,0.930646,0.74463,13,11.135
nguyen3,2,81,0.930646,0.77728,11,11.145
nguyen3,2,82,0.940252,0.7703,12,11.281
nguyen3,2,83,0.940252,0.759267,12,11.434
nguyen3,2,84,0.940252,0.74833,7,11.236
nguyen3,2,85,0.940252,0.758759,8,11.381
nguyen3,2,86,0.940252,0.761331,16,11.576
nguyen3,2,87,0.940252,0.738037,7,11.838
nguyen3,2,88,0.940252,0.765313,10,12.231
nguyen3,2,89,0.950341,0.774292,14,12.57
nguyen3,2,90,0.950341,0.783365,14,12.697
nguyen3,2,91,0.950341,0.754178,14,12.875
nguyen3,2,92,0.950341,0.77758,14,13.144
nguyen3,2,93,0.950341,0.777699,16,13.133
nguyen3,2,94,0.950341,0.779241,14,13.38
nguyen3,2,95,0.950341,0.786715,14,13.64
nguyen3,2,96,0.953158,0.773786,16,13.812
nguyen3,2,97,0.953158,0.741843,16,14.052
nguyen3,2,98,0.953158,0.768357,16,14.146
nguyen3,2,99,0.953158,0.752797,16,14.189
nguyen3,2,100,0.953158,0.749043,16,14.48
nguyen3,2,101,0.953158,0.759495,17,14.599
nguyen3,2,102,0.953158,0.743766,17,14.815
nguyen3,2,103,0.953158,0.741285,17,15.018
nguyen3,2,104,0.953158,0.723758,17,15.198
nguyen3,2,105,0.953158,0.691551,17,15.626
nguyen3,2,106,0.953158,0.674407,17,16.248
nguyen3,2,107,0.953158,0.698016,19,16.728
nguyen3,2,108,0.953164,0.675312,16,16.873
nguyen3,2,109,0.953164,0.696288,16,17.038
nguyen3,2,110,0.953164,0.703029,16,17.187
nguyen3,2,111,0.953164,0.711972,17,17.287
nguyen3,2,112,0.953164,0.709532,19,17.403
nguyen3,2,113,0.953164,0.710411,16,17.383
nguyen3,2,114,0.953218,0.71095,22,17.532
nguyen3,2,115,0.953218,0.716996,22,17.668
nguyen3,2,116,0.954133,0.726628,16,17.72
nguyen3,2,117,0.954133,0.71801,16,17.694
nguyen3,2,118,0.954133,0.700366,16,17.776
nguyen3,2,119,0.954133,0.723799,16,17.827
nguyen3,2,120,0.954133,0.731539,18,17.935
nguyen3,2,121,0.954133,0.70327,18,18.173
nguyen3,2,122,0.954133,0.695481,17,18.364
nguyen3,2,123,0.954133,0.698969,20,18.488
nguyen3,2,124,0.954133,0.713708,19,18.519
nguyen3,2,125,0.954133,0.712594,20,18.653
nguyen3,2,126,0.954133,0.71136,19,18.744
nguyen3,2,127,0.954133,0.710387,16,18.958
nguyen3,2,128,0.954133,0.731194,20,19.027
nguyen3,2,129,0.954133,0.712573,18,19.008
