target,run_seed,generation,best_fitness,mean_fitness,best_length,mean_length
nguyen1,2,0,0.897834,0.234214,8,8
nguyen1,2,1,0.897834,0.470835,8,7.999
nguyen1,2,2,0.897834,0.581509,8,8.001
nguyen1,2,3,0.897834,0.588612,8,8.053
nguyen1,2,4,0.897834,0.575769,8,8.096
nguyen1,2,5,0.897834,0.592469,8,8.138
nguyen1,2,6,0.897834,0.61915,7,8.213
nguyen1,2,7,0.897834,0.704778,9,8.227
nguyen1,2,8,0.902189,0.771917,9,8.28
nguyen1,2,9,0.902189,0.805748,9,8.294
nguyen1,2,10,0.902189,0.794571,9,8.271
nguyen1,2,11,0.902189,0.798016,9,8.342
nguyen1,2,12,0.921063,0.789332,7,8.404
nguyen1,2,13,0.921063,0.788924,7,8.499
nguyen1,2,14,0.921063,0.798091,7,8.593
nguyen1,2,15,0.921063,0.784214,7,8.755
nguyen1,2,16,0.921063,0.772536,9,8.856
nguyen1,2,17,0.921063,0.75703,11,9.085
nguyen1,2,18,0.921063,0.774836,7,9.161
nguyen1,2,19,0.921063,0.790017,11,9.245
nguyen1,2,20,0.922842,0.767253,11,9.398
nguyen1,2,21,0.922842,0.756399,11,9.481
nguyen1,2,22,0.922842,0.707137,10,9.608
nguyen1,2,23,0.922842,0.710126,7,9.824
nguyen1,2,24,0.922842,0.745182,13,10.053
nguyen1,2,25,0.922842,0.778927,13,10.31
nguyen1,2,26,0.957268,0.799621,11,10.456
nguyen1,2,27,0.957268,0.811024,11,10.495
nguyen1,2,28,0.957268,0.801936,11,10.494
nguyen1,2,29,0.957268,0.829513,8,10.553
nguyen1,2,30,0.957268,0.827077,8,10.716
nguyen1,2,31,0.957268,0.822129,8,10.816
nguyen1,2,32,0.957268,0.837805,10,10.842
nguyen1,2,33,0.957268,0.84257,13,10.788
nguyen1,2,34,0.986651,0.842724,13,10.771
nguyen1,2,35,0.986651,0.844498,13,10.65
nguyen1,2,36,0.986651,0.8544,12,10.767
nguyen1,2,37,0.986651,0.850848,14,10.772
nguyen1,2,38,0.986651,0.849692,13,10.81
nguyen1,2,39,0.986651,0.872557,7,10.845
nguyen1,2,40,0.986651,0.867033,9,11.091
nguyen1,2,41,0.986651,0.884674,8,11.214
nguyen1,2,42,0.986651,0.867741,14,11.387
nguyen1,2,43,0.986651,0.876384,7,11.454
nguyen1,2,44,0.986651,0.88034,13,11.54
nguyen1,2,45,0.986651,0.871607,7,11.614
nguyen1,2,46,0.986651,0.86998,16,11.595
nguyen1,2,47,0.986651,0.890392,9,11.561
nguyen1,2,48,0.986651,0.867843,8,11.538
nguyen1,2,49,0.986651,0.87478,11,11.516
nguyen1,2,50,0.986651,0.867667,9,11.572
nguyen1,2,51,0.986651,0.872749,11,11.572
nguyen1,2,52,0.986651,0.88354,7,11.801
nguyen1,2,53,0.986651,0.87346,12,11.879
nguyen1,2,54,0.986651,0.87605,7,11.838
nguyen1,2,55,0.986651,0.880109,17,12.045
nguyen1,2,56,0.986651,0.868787,9,11.94
nguyen1,2,57,0.986651,0.872838,8,11.95
nguyen1,2,58,0.986651,0.881869,12,11.891
nguyen1,2,59,0.986651,0.884841,8,12.007
