target,run_seed,generation,best_fitness,mean_fitness,best_length,mean_length
nguyen2,0,0,0.551773,0.152143,8,8
nguyen2,0,1,0.551773,0.286722,8,8.043
nguyen2,0,2,0.551773,0.383701,8,7.996
nguyen2,0,3,0.567644,0.403663,9,8.03
nguyen2,0,4,0.634347,0.423081,9,7.979
nguyen2,0,5,0.634347,0.440739,9,8.054
nguyen2,0,6,0.713646,0.461414,9,8.11
nguyen2,0,7,0.713646,0.46242,9,8.182
nguyen2,0,8,0.713646,0.461062,9,8.356
nguyen2,0,9,0.713646,0.49484,9,8.553
nguyen2,0,10,0.713646,0.511947,9,8.693
nguyen2,0,11,0.713646,0.519767,9,8.747
nguyen2,0,12,0.766108,0.522527,8,8.702
nguyen2,0,13,0.766108,0.528164,8,8.837
nguyen2,0,14,0.766108,0.540074,9,8.966
nguyen2,0,15,0.771718,0.559989,10,9.014
nguyen2,0,16,0.771718,0.590167,10,9.124
nguyen2,0,17,0.782543,0.611051,8,9.274
nguyen2,0,18,0.782543,0.62932,8,9.439
nguyen2,0,19,0.786627,0.652377,10,9.543
nguyen2,0,20,0.786627,0.663355,10,9.521
nguyen2,0,21,0.810526,0.676894,11,9.551
nguyen2,0,22,0.810526,0.678334,11,9.583
nguyen2,0,23,0.810526,0.670968,11,9.709
nguyen2,0,24,0.810526,0.682014,11,9.781
nguyen2,0,25,0.823025,0.668499,12,9.834
nguyen2,0,26,0.823025,0.66857,12,9.864
nguyen2,0,27,0.823025,0.666266,12,9.868
nguyen2,0,28,0.823025,0.673133,12,10
nguyen2,0,29,0.823025,0.667056,12,10.022
nguyen2,0,30,0.823025,0.661767,12,10.246
nguyen2,0,31,0.823025,0.635694,12,10.533
nguyen2,0,32,0.823025,0.642086,12,10.85
nguyen2,0,33,0.823025,0.618327,11,11.171
nguyen2,0,34,0.823025,0.616489,11,11.354
nguyen2,0,35,0.879049,0.63277,11,11.751
nguyen2,0,36,0.879049,0.624403,11,11.957
nguyen2,0,37,0.879049,0.642305,11,12.027
nguyen2,0,38,0.915562,0.643106,11,12.144
nguyen2,0,39,0.915562,0.661443,11,12.282
nguyen2,0,40,0.915562,0.63859,14,12.364
nguyen2,0,41,0.929213,0.638917,11,12.538
nguyen2,0,42,0.929213,0.637749,11,12.644
nguyen2,0,43,0.950569,0.692142,14,12.743
nguyen2,0,44,0.950569,0.721804,14,12.826
nguyen2,0,45,0.950569,0.75294,14,13.024
nguyen2,0,46,0.950569,0.748157,12,13.004
nguyen2,0,47,0.950807,0.762467,15,13.054
nguyen2,0,48,0.950807,0.77077,15,13.185
nguyen2,0,49,0.950807,0.747193,12,13.206
nguyen2,0,50,0.950807,0.752365,13,13.351
nguyen2,0,51,0.950807,0.752843,18,13.479
nguyen2,0,52,0.950807,0.750759,13,13.742
nguyen2,0,53,0.950807,0.742499,14,13.735
nguyen2,0,54,0.950807,0.757988,16,13.838
nguyen2,0,55,0.950807,0.738838,15,13.858
