target,run_seed,generation,best_fitness,mean_fitness,best_length,mean_length
nguyen1,1,0,0.729901,0.225369,8,8
nguyen1,1,1,0.729901,0.431974,8,8.023
nguyen1,1,2,0.729901,0.57866,8,7.994
nguyen1,1,3,0.729901,0.590855,8,8.078
nguyen1,1,4,0.729901,0.582266,8,8.159
nguyen1,1,5,0.794527,0.568571,6,8.16
nguyen1,1,6,0.794527,0.581107,6,8.157
nguyen1,1,7,0.826426,0.583913,10,8.124
nguyen1,1,8,0.826426,0.575482,10,8.197
nguyen1,1,9,0.826426,0.590755,11,8.302
nguyen1,1,10,0.826426,0.587177,11,8.332
nguyen1,1,11,0.826426,0.596849,11,8.436
nguyen1,1,12,0.826426,0.589468,10,8.449
nguyen1,1,13,0.826426,0.647506,11,8.379
nguyen1,1,14,0.826426,0.654186,9,8.59
nguyen1,1,15,0.826426,0.677042,10,8.864
nguyen1,1,16,0.912922,0.640149,11,9.195
nguyen1,1,17,0.912922,0.600634,11,9.497
nguyen1,1,18,0.912922,0.580554,11,9.874
nguyen1,1,19,0.912922,0.611749,11,10.179
nguyen1,1,20,0.912922,0.637082,11,10.395
nguyen1,1,21,0.912922,0.643063,11,10.554
nguyen1,1,22,0.912922,0.651177,11,10.609
nguyen1,1,23,0.912922,0.658729,11,10.717
nguyen1,1,24,0.912922,0.670043,11,10.924
nguyen1,1,25,0.912922,0.673254,11,11.138
nguyen1,1,26,0.912922,0.711569,9,11.224
nguyen1,1,27,0.912922,0.737758,12,11.327
nguyen1,1,28,0.927713,0.733075,10,11.32
nguyen1,1,29,0.927713,0.731957,10,11.472
nguyen1,1,30,0.927713,0.731893,10,11.498
nguyen1,1,31,0.927713,0.715648,11,11.559
nguyen1,1,32,0.927713,0.717395,11,11.626
nguyen1,1,33,0.927713,0.717527,15,11.612
nguyen1,1,34,0.927713,0.71815,9,11.734
nguyen1,1,35,0.927713,0.727109,12,11.802
nguyen1,1,36,0.927713,0.752818,15,12.076
nguyen1,1,37,0.927713,0.771344,12,12.251
nguyen1,1,38,0.927713,0.800852,14,12.173
nguyen1,1,39,0.927713,0.764001,9,12.237
nguyen1,1,40,0.927713,0.770284,14,12.222
nguyen1,1,41,0.927713,0.768688,12,12.284
nguyen1,1,42,0.927713,0.766243,12,12.386
nguyen1,1,43,0.927713,0.77274,15,12.423
nguyen1,1,44,0.927713,0.773788,11,12.467
nguyen1,1,45,0.927713,0.778226,14,12.455
nguyen1,1,46,0.927713,0.783728,9,12.485
nguyen1,1,47,0.927713,0.775191,15,12.489
nguyen1,1,48,0.927713,0.78324,11,12.63
nguyen1,1,49,0.927713,0.778477,12,12.696
nguyen1,1,50,0.927713,0.784732,16,12.831
nguyen1,1,51,0.927713,0.77907,11,12.88
nguyen1,1,52,0.927713,0.783185,11,12.933
nguyen1,1,53,0.927713,0.777129,10,13.025
nguyen1,1,54,0.927713,0.79006,12,13.075
nguyen1,1,55,0.927713,0.777661,13,13.094
nguyen1,1,56,0.927713,0.786788,10,12.826
nguyen1,1,57,0.927713,0.787667,16,13.051
nguyen1,1,58,0.927713,0.789301,9,13.228
nguyen1,1,59,0.927713,0.789388,12,13.169
nguyen1,1,60,0.927713,0.799333,13,13.309
nguyen1,1,61,0.927713,0.769628,11,13.429
nguyen1,1,62,0.927713,0.786076,10,13.453
nguyen1,1,63,0.927713,0.782266,11,13.324
nguyen1,1,64,0.927713,0.814775,15,13.562
nguyen1,1,65,0.927713,0.770548,9,13.589
nguyen1,1,66,0.927713,0.784666,11,13.516
nguyen1,1,67,0.927713,0.803956,10,13.629
nguyen1,1,68,0.927713,0.791264,15,13.643
nguyen1,1,69,0.927713,0.786239,11,13.63
nguyen1,1,70,0.927713,0.783895,10,13.535
nguyen1,1,71,0.927713,0.801102,13,13.616
nguyen1,1,72,0.927713,0.794573,14,13.55
nguyen1,1,73,0.928851,0.767077,16,13.558
nguyen1,1,74,0.928851,0.776504,16,13.357
nguyen1,1,75,0.928851,0.786166,16,13.332
nguyen1,1,76,0.928851,0.800029,17,13.661
nguyen1,1,77,0.928851,0.783362,16,13.756
nguyen1,1,78,0.928851,0.790227,16,14.21
nguyen1,1,79,0.92978,0.790236,16,14.386
nguyen1,1,80,0.92978,0.790334,16,14.946
nguyen1,1,81,0.931636,0.778421,17,15.728
nguyen1,1,82,0.931703,0.775965,17,16.381
nguyen1,1,83,0.931764,0.770908,17,16.798
nguyen1,1,84,0.931764,0.767782,17,16.991
nguyen1,1,85,0.932946,0.778062,16,17.173
nguyen1,1,86,0.944658,0.789053,17,17.278
nguyen1,1,87,0.94919,0.768031,19,17.279
nguyen1,1,88,0.94919,0.764754,19,17.392
nguyen1,1,89,0.952387,0.780287,18,17.475
nguyen1,1,90,0.953332,0.77769,17,17.586
nguyen1,1,91,0.953332,0.765975,17,17.718
nguyen1,1,92,0.955993,0.767086,19,17.777
nguyen1,1,93,0.955993,0.785955,19,17.995
nguyen1,1,94,0.955993,0.794346,18,18.034
nguyen1,1,95,0.955993,0.798781,18,18.234
nguyen1,1,96,0.955993,0.798209,19,18.401
nguyen1,1,97,0.955993,0.806545,17,18.468
nguyen1,1,98,0.955993,0.82014,19,18.461
nguyen1,1,99,0.955993,0.797068,16,18.442
nguyen1,1,100,0.955993,0.797063,18,18.473
nguyen1,1,101,0.955993,0.804211,19,18.484
nguyen1,1,102,0.955993,0.787316,19,18.449
nguyen1,1,103,0.955993,0.785734,17,18.456
nguyen1,1,104,0.955993,0.782726,16,18.529
nguyen1,1,105,0.955993,0.798321,17,18.595
nguyen1,1,106,0.955993,0.816892,18,18.765
nguyen1,1,107,0.955993,0.793268,18,18.789
nguyen1,1,108,0.955993,0.784106,18,18.959
nguyen1,1,109,0.955993,0.782533,18,18.933
nguyen1,1,110,0.955993,0.804756,19,18.969
nguyen1,1,111,0.955993,0.770341,17,18.924
nguyen1,1,112,0.955993,0.788488,17,19.023
nguyen1,1,113,0.955993,0.785804,19,18.985
nguyen1,1,114,0.955993,0.819216,19,18.947
nguyen1,1,115,0.955993,0.789627,17,18.97
nguyen1,1,116,0.955993,0.80563,19,18.971
nguyen1,1,117,0.955993,0.810432,19,18.87
nguyen1,1,118,0.955993,0.822765,19,18.991
nguyen1,1,119,0.955993,0.785741,20,18.97
nguyen1,1,120,0.955993,0.793747,18,19.089
nguyen1,1,121,0.955993,0.811556,18,19.124
nguyen1,1,122,0.955993,0.805149,22,19.088
nguyen1,1,123,0.955993,0.812621,17,19.103
nguyen1,1,124,0.955993,0.803108,18,19.17
nguyen1,1,125,0.955993,0.800083,17,19.18
nguyen1,1,126,0.955993,0.811637,19,18.985
nguyen1,1,127,0.955993,0.795191,19,19.067
nguyen1,1,128,0.955993,0.792816,17,18.992
nguyen1,1,129,0.955993,0.791626,16,19.111
nguyen1,1,130,0.955993,0.794852,16,19.271
nguyen1,1,131,0.955993,0.793481,17,19.291
nguyen1,1,132,0.958045,0.812674,17,19.264
nguyen1,1,133,0.958045,0.823852,17,19.284
nguyen1,1,134,0.958045,0.802394,17,19.304
nguyen1,1,135,0.958045,0.794779,17,19.366
nguyen1,1,136,0.958045,0.814591,21,19.183
nguyen1,1,137,0.958045,0.79964,19,19.137
nguyen1,1,138,0.95962,0.802388,19,19.216
nguyen1,1,139,0.95962,0.795982,19,19.163
nguyen1,1,140,0.95962,0.803245,20,19.19
nguyen1,1,141,0.95962,0.795601,19,19.342
nguyen1,1,142,0.95962,0.805018,20,19.463
nguyen1,1,143,0.95962,0.822456,19,19.559
nguyen1,1,144,0.959901,0.804523,16,19.592
nguyen1,1,145,0.959901,0.812119,16,19.723
nguyen1,1,146,0.959901,0.813754,16,19.841
nguyen1,1,147,0.959901,0.804102,19,19.773
nguyen1,1,148,0.959901,0.813671,19,20.063
nguyen1,1,149,0.96061,0.795763,16,19.869
nguyen1,1,150,0.96061,0.792789,16,19.838
nguyen1,1,151,0.96061,0.796279,16,19.974
nguyen1,1,152,0.96061,0.813621,25,19.941
