target,run_seed,generation,best_fitness,mean_fitness,best_length,mean_length
nguyen3,0,0,0.481421,0.144976,8,8
nguyen3,0,1,0.481421,0.273131,8,8.043
nguyen3,0,2,0.481421,0.364543,8,7.996
nguyen3,0,3,0.632385,0.380095,9,8.03
nguyen3,0,4,0.632385,0.389433,9,7.979
nguyen3,0,5,0.632385,0.396487,9,8.054
nguyen3,0,6,0.644182,0.410813,9,8.112
nguyen3,0,7,0.644182,0.415361,9,8.173
nguyen3,0,8,0.644182,0.433375,9,8.334
nguyen3,0,9,0.644182,0.477376,10,8.501
nguyen3,0,10,0.722321,0.536896,10,8.604
nguyen3,0,11,0.722321,0.576664,10,8.58
nguyen3,0,12,0.756438,0.581983,8,8.628
nguyen3,0,13,0.807986,0.565468,8,8.683
nguyen3,0,14,0.807986,0.563154,8,8.841
nguyen3,0,15,0.807986,0.552762,12,9.1
nguyen3,0,16,0.807986,0.561267,7,9.298
nguyen3,0,17,0.809713,0.609731,10,9.415
nguyen3,0,18,0.809713,0.637227,10,9.521
nguyen3,0,19,0.809713,0.676183,10,9.597
nguyen3,0,20,0.809713,0.699087,10,9.613
nguyen3,0,21,0.809713,0.6884,10,9.715
nguyen3,0,22,0.809713,0.69425,8,10.018
nguyen3,0,23,0.809713,0.689272,10,10.16
nguyen3,0,24,0.809713,0.693769,12,10.275
nguyen3,0,25,0.809713,0.680452,12,10.336
nguyen3,0,26,0.809713,0.681254,11,10.331
nguyen3,0,27,0.809713,0.697337,10,10.527
nguyen3,0,28,0.809713,0.694193,12,10.702
nguyen3,0,29,0.809713,0.690466,9,10.86
nguyen3,0,30,0.809713,0.706358,13,10.891
nguyen3,0,31,0.809713,0.693088,9,10.835
nguyen3,0,32,0.809713,0.677847,6,10.931
nguyen3,0,33,0.809713,0.691481,11,10.922
nguyen3,0,34,0.809713,0.688941,13,10.852
nguyen3,0,35,0.809713,0.700105,7,11.015
nguyen3,0,36,0.809713,0.695134,8,11.059
nguyen3,0,37,0.809713,0.698478,9,11.004
nguyen3,0,38,0.809713,0.698427,8,10.952
nguyen3,0,39,0.809713,0.70284,11,11.064
nguyen3,0,40,0.809713,0.690911,10,11.051
nguyen3,0,41,0.809713,0.695078,12,11.085
nguyen3,0,42,0.809713,0.685732,8,11.177
nguyen3,0,43,0.809713,0.7061,8,11.162
nguyen3,0,44,0.809713,0.708371,11,11.257
nguyen3,0,45,0.809713,0.697227,11,11.397
nguyen3,0,46,0.809713,0.706934,13,11.353
nguyen3,0,47,0.809713,0.701531,9,11.473
nguyen3,0,48,0.809713,0.70793,10,11.529
nguyen3,0,49,0.809713,0.708729,8,11.463
nguyen3,0,50,0.809713,0.710812,12,11.508
nguyen3,0,51,0.809713,0.701337,7,11.47
nguyen3,0,52,0.809713,0.699657,11,11.514
nguyen3,0,53,0.809713,0.699086,7,11.48
nguyen3,0,54,0.809713,0.692534,10,11.339
nguyen3,0,55,0.809713,0.69712,10,11.339
nguyen3,0,56,0.809713,0.696951,12,11.403
nguyen3,0,57,0.809713,0.69712,9,11.316
nguyen3,0,58,0.809713,0.707843,10,11.412
nguyen3,0,59,0.809713,0.694686,8,11.363
nguyen3,0,60,0.809713,0.688199,9,11.294
nguyen3,0,61,0.809713,0.69685,8,11.297
nguyen3,0,62,0.809713,0.708336,11,11.528
nguyen3,0,63,0.809713,0.694425,8,11.748
nguyen3,0,64,0.809713,0.692729,8,11.665
nguyen3,0,65,0.809713,0.692968,14,11.684
nguyen3,0,66,0.809713,0.694949,10,11.709
nguyen3,0,67,0.809713,0.69603,7,11.876
nguyen3,0,68,0.809713,0.702281,11,11.886
nguyen3,0,69,0.809713,0.693486,11,11.75
nguyen3,0,70,0.809713,0.698963,8,11.757
nguyen3,0,71,0.809713,0.708601,11,11.661
nguyen3,0,72,0.809713,0.711316,12,11.65
nguyen3,0,73,0.809713,0.719036,14,11.662
nguyen3,0,74,0.809713,0.716012,11,11.539
nguyen3,0,75,0.809713,0.70086,12,11.594
nguyen3,0,76,0.809713,0.701434,9,11.54
nguyen3,0,77,0.809713,0.695479,13,11.483
nguyen3,0,78,0.809713,0.711085,9,11.491
nguyen3,0,79,0.809713,0.697342,11,11.567
nguyen3,0,80,0.809713,0.701375,10,11.531
nguyen3,0,81,0.809713,0.711081,13,11.459
nguyen3,0,82,0.809713,0.694607,11,11.389
nguyen3,0,83,0.809713,0.700055,8,11.436
nguyen3,0,84,0.809713,0.694956,7,11.548
nguyen3,0,85,0.809713,0.701415,13,11.52
nguyen3,0,86,0.809713,0.698707,8,11.527
nguyen3,0,87,0.809713,0.698533,12,11.424
nguyen3,0,88,0.809713,0.700458,11,11.536
nguyen3,0,89,0.809713,0.706055,7,11.552
nguyen3,0,90,0.809713,0.700697,13,11.515
nguyen3,0,91,0.809713,0.696799,9,11.644
nguyen3,0,92,0.809713,0.697797,9,11.702
nguyen3,0,93,0.809713,0.701347,8,11.786
nguyen3,0,94,0.809713,0.693234,10,11.827
nguyen3,0,95,0.809713,0.696251,12,11.849
nguyen3,0,96,0.809713,0.709861,11,11.899
nguyen3,0,97,0.809713,0.697407,12,12.105
nguyen3,0,98,0.809713,0.708743,12,12.365
nguyen3,0,99,0.809713,0.716044,12,12.168
nguyen3,0,100,0.809713,0.701846,8,12.139
nguyen3,0,101,0.809713,0.709945,14,12.163
nguyen3,0,102,0.809713,0.691388,11,12.103
nguyen3,0,103,0.809713,0.709477,11,12.048
nguyen3,0,104,0.809713,0.706983,11,12.028
nguyen3,0,105,0.809713,0.707483,13,11.977
nguyen3,0,106,0.809713,0.721163,6,11.807
nguyen3,0,107,0.809713,0.685024,9,11.734
nguyen3,0,108,0.809713,0.693398,13,11.809
nguyen3,0,109,0.809713,0.697108,7,11.7
nguyen3,0,110,0.809713,0.706927,11,11.682
nguyen3,0,111,0.809713,0.686688,11,11.661
nguyen3,0,112,0.809713,0.701364,10,11.603
nguyen3,0,113,0.809713,0.699093,11,11.592
nguyen3,0,114,0.812169,0.701586,13,11.749
nguyen3,0,115,0.812169,0.689668,13,11.63
nguyen3,0,116,0.813911,0.702972,14,11.707
nguyen3,0,117,0.815821,0.699773,14,11.755
nguyen3,0,118,0.815821,0.691908,14,11.829
nguyen3,0,119,0.815821,0.681838,14,12.433
nguyen3,0,120,0.815821,0.670946,14,12.986
nguyen3,0,121,0.815821,0.665915,13,13.549
nguyen3,0,122,0.815821,0.669031,14,13.852
nguyen3,0,123,0.815821,0.681491,14,14.138
nguyen3,0,124,0.815821,0.684659,15,14.339
nguyen3,0,125,0.815821,0.676819,13,14.536
nguyen3,0,126,0.815821,0.677828,13,14.731
nguyen3,0,127,0.815821,0.693065,14,14.752
nguyen3,0,128,0.815821,0.676982,13,14.739
nguyen3,0,129,0.815821,0.690167,14,14.746
nguyen3,0,130,0.815821,0.684959,13,14.958
nguyen3,0,131,0.815821,0.682125,14,14.982
nguyen3,0,132,0.815821,0.700093,13,15.033
nguyen3,0,133,0.815821,0.695151,14,15.108
nguyen3,0,134,0.837145,0.701773,15,15.18
nguyen3,0,135,0.837145,0.695536,15,15.17
nguyen3,0,136,0.837145,0.694887,15,15.228
nguyen3,0,137,0.837145,0.683824,15,15.265
nguyen3,0,138,0.837145,0.695983,15,15.234
nguyen3,0,139,0.837145,0.691363,13,15.269
nguyen3,0,140,0.837145,0.686457,15,15.354
nguyen3,0,141,0.837145,0.700753,17,15.618
nguyen3,0,142,0.837145,0.695595,15,15.811
nguyen3,0,143,0.837145,0.679687,15,15.86
nguyen3,0,144,0.843882,0.686436,13,15.923
nguyen3,0,145,0.843882,0.695703,13,16.06
nguyen3,0,146,0.843882,0.689193,16,16.241
nguyen3,0,147,0.843882,0.694876,17,16.416
nguyen3,0,148,0.849247,0.699095,22,16.635
nguyen3,0,149,0.849247,0.705573,22,16.857
nguyen3,0,150,0.849247,0.689087,22,17.163
nguyen3,0,151,0.849247,0.712816,22,17.298
nguyen3,0,152,0.849247,0.712423,16,17.418
nguyen3,0,153,0.849247,0.719826,18,17.522
nguyen3,0,154,0.849247,0.705439,16,17.736
nguyen3,0,155,0.849247,0.710249,20,17.877
nguyen3,0,156,0.849247,0.722423,17,17.907
nguyen3,0,157,0.849247,0.697885,20,18.112
nguyen3,0,158,0.849247,0.728432,18,18.435
nguyen3,0,159,0.849247,0.71415,20,18.507
nguyen3,0,160,0.849247,0.729262,19,18.486
nguyen3,0,161,0.849247,0.717076,19,18.64
nguyen3,0,162,0.849247,0.736224,17,18.587
nguyen3,0,163,0.849247,0.712865,18,18.616
nguyen3,0,164,0.849247,0.704207,15,18.74
nguyen3,0,165,0.849247,0.698289,15,18.849
nguyen3,0,166,0.849247,0.712491,19,19.043
nguyen3,0,167,0.849247,0.714752,15,19.159
nguyen3,0,168,0.849247,0.722793,20,19.218
nguyen3,0,169,0.851638,0.713005,18,19.25
nguyen3,0,170,0.851638,0.723971,18,19.441
nguyen3,0,171,0.851638,0.722664,18,19.41
nguyen3,0,172,0.851638,0.719229,18,19.412
nguyen3,0,173,0.851638,0.731185,18,19.512
nguyen3,0,174,0.85599,0.701427,24,19.304
nguyen3,0,175,0.85599,0.70697,24,19.201
nguyen3,0,176,0.85599,0.71292,18,19.181
nguyen3,0,177,0.85599,0.700094,18,18.989
nguyen3,0,178,0.857013,0.711127,17,18.931
nguyen3,0,179,0.857013,0.708105,17,18.874
nguyen3,0,180,0.857013,0.696707,17,18.931
nguyen3,0,181,0.860478,0.676563,19,19.157
nguyen3,0,182,0.865564,0.689287,20,19.317
nguyen3,0,183,0.865564,0.705248,20,19.435
nguyen3,0,184,0.869457,0.701786,19,19.529
nguyen3,0,185,0.869457,0.695442,19,19.539
nguyen3,0,186,0.869457,0.69884,19,19.782
nguyen3,0,187,0.869457,0.716605,19,19.862
nguyen3,0,188,0.869457,0.703876,25,20.07
nguyen3,0,189,0.869457,0.703959,20,20.266
nguyen3,0,190,0.887254,0.705827,21,20.478
nguyen3,0,191,0.887254,0.703203,21,20.583
nguyen3,0,192,0.887254,0.700951,21,20.764
nguyen3,0,193,0.887254,0.695416,21,20.787
nguyen3,0,194,0.887254,0.71531,21,20.938
nguyen3,0,195,0.887254,0.705141,21,20.93
nguyen3,0,196,0.887254,0.709615,26,20.909
nguyen3,0,197,0.887254,0.706951,26,21.151
nguyen3,0,198,0.887254,0.704695,20,21.344
nguyen3,0,199,0.936438,0.701275,19,21.536
nguyen3,0,200,0.936438,0.701696,19,21.712
nguyen3,0,201,0.936438,0.697391,19,22.163
nguyen3,0,202,0.936438,0.704848,19,22.33
nguyen3,0,203,0.936438,0.715458,19,22.538
nguyen3,0,204,0.936438,0.713162,19,22.829
nguyen3,0,205,0.936438,0.724888,27,23.211
nguyen3,0,206,0.936438,0.743386,20,23.506
nguyen3,0,207,0.936438,0.742185,22,23.508
nguyen3,0,208,0.936983,0.752432,22,23.446
nguyen3,0,209,0.936983,0.751647,22,23.578
nguyen3,0,210,0.936983,0.763061,22,24.133
nguyen3,0,211,0.937037,0.76906,30,24.286
nguyen3,0,212,0.937037,0.772825,30,24.203
nguyen3,0,213,0.937037,0.798892,23,24.288
nguyen3,0,214,0.937037,0.802348,23,24.612
nguyen3,0,215,0.937306,0.799866,20,24.68
nguyen3,0,216,0.937309,0.796233,20,25.068
nguyen3,0,217,0.937309,0.775261,23,25.06
nguyen3,0,218,0.937309,0.786158,20,25.17
nguyen3,0,219,0.937309,0.784721,26,25.153
nguyen3,0,220,0.937309,0.809295,30,25.392
nguyen3,0,221,0.937309,0.799952,19,25.891
nguyen3,0,222,0.937309,0.799403,33,25.975
nguyen3,0,223,0.937309,0.818405,23,26.022
nguyen3,0,224,0.937309,0.807751,29,26.142
nguyen3,0,225,0.937309,0.804372,28,26.059
nguyen3,0,226,0.937309,0.790102,27,26.162
nguyen3,0,227,0.937309,0.795871,21,26.005
nguyen3,0,228,0.937309,0.792552,24,26.208
nguyen3,0,229,0.937309,0.813108,33,26.136
nguyen3,0,230,0.937309,0.80609,28,26.279
nguyen3,0,231,0.937309,0.81412,22,26.162
nguyen3,0,232,0.937309,0.811595,20,26.246
nguyen3,0,233,0.937309,0.817188,26,26.44
nguyen3,0,234,0.937309,0.81504,25,26.69
nguyen3,0,235,0.937309,0.809024,25,26.837
nguyen3,0,236,0.937309,0.797688,23,26.78
nguyen3,0,237,0.937309,0.803774,25,26.854
nguyen3,0,238,0.937309,0.806433,28,26.951
nguyen3,0,239,0.937309,0.796946,29,26.722
nguyen3,0,240,0.937309,0.790811,28,26.727
nguyen3,0,241,0.937309,0.797813,27,26.793
nguyen3,0,242,0.937309,0.791472,25,26.767
nguyen3,0,243,0.937309,0.797369,31,27.121
nguyen3,0,244,0.937309,0.811042,21,26.902
nguyen3,0,245,0.937309,0.826504,23,27.056
nguyen3,0,246,0.937309,0.805658,24,27.014
nguyen3,0,247,0.937309,0.805262,28,26.857
nguyen3,0,248,0.937309,0.79692,21,26.471
nguyen3,0,249,0.937309,0.799722,26,26.559
nguyen3,0,250,0.937309,0.807455,20,26.835
nguyen3,0,251,0.937309,0.795711,30,27.007
nguyen3,0,252,0.937309,0.816249,19,27.145
nguyen3,0,253,0.937309,0.811193,27,27.229
nguyen3,0,254,0.937309,0.793267,30,26.857
nguyen3,0,255,0.937309,0.807776,29,27.025
nguyen3,0,256,0.937309,0.812281,30,27.073
nguyen3,0,257,0.937309,0.815454,30,27.066
nguyen3,0,258,0.937366,0.801613,36,27.007
nguyen3,0,259,0.937366,0.823462,36,27.196
nguyen3,0,260,0.937366,0.802989,36,27.343
nguyen3,0,261,0.938263,0.809545,36,27.556
nguyen3,0,262,0.938263,0.791959,36,28.31
nguyen3,0,263,0.938263,0.794987,37,29.625
nguyen3,0,264,0.938263,0.778088,37,31.211
nguyen3,0,265,0.938514,0.792083,30,32.551
nguyen3,0,266,0.940161,0.791039,37,34.075
nguyen3,0,267,0.943267,0.78982,37,35.074
nguyen3,0,268,0.945613,0.78307,32,35.508
nguyen3,0,269,0.945613,0.781073,32,35.058
nguyen3,0,270,0.945807,0.782818,38,33.965
nguyen3,0,271,0.947273,0.799004,32,33.801
nguyen3,0,272,0.947273,0.784084,32,34.182
nguyen3,0,273,0.976527,0.79208,30,34.559
nguyen3,0,274,0.976527,0.789168,30,34.192
nguyen3,0,275,0.976527,0.78862,30,33.516
nguyen3,0,276,0.976527,0.769784,33,32.825
nguyen3,0,277,0.989273,0.789667,35,32.43
nguyen3,0,278,0.989273,0.791709,35,32.283
nguyen3,0,279,0.989273,0.781121,32,31.891
nguyen3,0,280,0.989273,0.796466,35,31.786
nguyen3,0,281,0.989273,0.792901,35,31.788
nguyen3,0,282,0.989273,0.794718,35,32.086
nguyen3,0,283,0.989273,0.779643,36,32.719
nguyen3,0,284,0.989273,0.799462,33,33.333
nguyen3,0,285,0.989273,0.805786,34,33.696
nguyen3,0,286,0.989273,0.806257,35,33.904
nguyen3,0,287,0.989273,0.802516,35,34.012
nguyen3,0,288,0.989273,0.803059,36,34.115
nguyen3,0,289,0.989273,0.808067,35,34.176
nguyen3,0,290,0.989273,0.808075,32,34.193
nguyen3,0,291,0.989273,0.808307,35,34.223
nguyen3,0,292,0.989273,0.809786,35,34.223
nguyen3,0,293,0.989273,0.823253,31,34.095
nguyen3,0,294,0.989273,0.838827,35,34.144
nguyen3,0,295,0.989273,0.80864,35,34.154
nguyen3,0,296,0.989273,0.813253,32,34.205
nguyen3,0,297,0.989273,0.811368,31,34.216
nguyen3,0,298,0.989273,0.823763,34,34.446
nguyen3,0,299,0.989273,0.82164,33,34.404
nguyen3,0,300,0.989273,0.803079,35,34.506
nguyen3,0,301,0.989273,0.810501,34,34.425
nguyen3,0,302,0.989273,0.801057,35,34.486
nguyen3,0,303,0.989273,0.834836,32,34.454
nguyen3,0,304,0.989273,0.836581,35,34.379
nguyen3,0,305,0.989273,0.810601,35,34.497
nguyen3,0,306,0.989273,0.835256,35,34.678
nguyen3,0,307,0.989273,0.807354,35,34.668
nguyen3,0,308,0.989273,0.813263,34,34.627
nguyen3,0,309,0.989273,0.802844,33,34.555
nguyen3,0,310,0.989273,0.834961,35,34.675
nguyen3,0,311,0.989273,0.816097,36,34.694
nguyen3,0,312,0.989273,0.811071,35,34.709
nguyen3,0,313,0.989273,0.831183,31,34.562
nguyen3,0,314,0.989273,0.825467,35,34.59
nguyen3,0,315,0.989273,0.812807,33,34.466
nguyen3,0,316,0.989273,0.815138,35,34.414
nguyen3,0,317,0.989273,0.798006,35,34.366
nguyen3,0,318,0.989273,0.806604,36,34.507
nguyen3,0,319,0.989273,0.821057,35,34.386
nguyen3,0,320,0.989273,0.823679,31,34.415
nguyen3,0,321,0.989273,0.819708,34,34.322
nguyen3,0,322,0.989273,0.798207,34,34.422
nguyen3,0,323,0.989273,0.803074,31,34.422
nguyen3,0,324,0.989273,0.812371,33,34.375
nguyen3,0,325,0.989273,0.827206,31,34.205
nguyen3,0,326,0.989273,0.812513,34,34.154
nguyen3,0,327,0.989273,0.830199,31,34.368
