target,run_seed,generation,best_fitness,mean_fitness,best_length,mean_length
nguyen2,1,0,0.59014,0.149976,8,8
nguyen2,1,1,0.59014,0.287806,8,8.023
nguyen2,1,2,0.607549,0.390931,9,7.997
nguyen2,1,3,0.755078,0.411706,9,8.089
nguyen2,1,4,0.755078,0.432351,9,8.199
nguyen2,1,5,0.755078,0.44577,9,8.223
nguyen2,1,6,0.755078,0.453574,10,8.281
nguyen2,1,7,0.755078,0.47677,9,8.453
nguyen2,1,8,0.839563,0.509049,10,8.615
nguyen2,1,9,0.839563,0.561772,10,8.576
nguyen2,1,10,0.839563,0.598926,11,8.727
nguyen2,1,11,0.839563,0.655586,11,8.854
nguyen2,1,12,0.839563,0.667922,10,8.959
nguyen2,1,13,0.839563,0.696678,8,9.159
nguyen2,1,14,0.839563,0.722775,8,9.249
nguyen2,1,15,0.839563,0.737758,6,9.31
nguyen2,1,16,0.839563,0.74121,11,9.388
nguyen2,1,17,0.839563,0.752213,9,9.473
nguyen2,1,18,0.839563,0.755139,7,9.547
nguyen2,1,19,0.839563,0.74006,9,9.509
nguyen2,1,20,0.839563,0.747187,9,9.514
nguyen2,1,21,0.839563,0.739566,8,9.586
nguyen2,1,22,0.839563,0.749388,8,9.582
nguyen2,1,23,0.839563,0.742169,11,9.652
nguyen2,1,24,0.839563,0.745011,10,9.782
nguyen2,1,25,0.839563,0.750194,10,9.875
nguyen2,1,26,0.839563,0.757753,10,9.989
nguyen2,1,27,0.839563,0.744659,11,9.979
nguyen2,1,28,0.839563,0.735365,10,10.107
nguyen2,1,29,0.839563,0.740396,10,10.21
nguyen2,1,30,0.839563,0.745587,11,10.343
nguyen2,1,31,0.839563,0.727733,12,10.643
nguyen2,1,32,0.84767,0.719334,13,10.943
nguyen2,1,33,0.84767,0.717288,13,11.064
nguyen2,1,34,0.84767,0.71801,13,11.1
nguyen2,1,35,0.84767,0.717036,13,11.275
nguyen2,1,36,0.850855,0.714442,10,11.369
nguyen2,1,37,0.850855,0.712488,10,11.511
nguyen2,1,38,0.850855,0.71832,11,11.663
nguyen2,1,39,0.85475,0.706561,11,11.839
nguyen2,1,40,0.85475,0.723484,11,11.724
nguyen2,1,41,0.85475,0.724208,11,11.679
nguyen2,1,42,0.856431,0.715996,12,11.795
nguyen2,1,43,0.856431,0.721673,12,11.846
nguyen2,1,44,0.856431,0.722349,12,12.001
nguyen2,1,45,0.856431,0.716246,12,12.264
nguyen2,1,46,0.856431,0.71654,9,12.346
nguyen2,1,47,0.856431,0.729126,8,12.479
nguyen2,1,48,0.858916,0.730423,15,12.575
nguyen2,1,49,0.858916,0.724387,15,12.565
nguyen2,1,50,0.858916,0.737751,15,12.713
nguyen2,1,51,0.858916,0.728986,15,12.766
nguyen2,1,52,0.858916,0.75111,15,12.813
nguyen2,1,53,0.858916,0.731528,15,12.835
nguyen2,1,54,0.858916,0.737749,15,13.121
nguyen2,1,55,0.86247,0.740925,12,13.259
nguyen2,1,56,0.86247,0.753808,12,13.296
nguyen2,1,57,0.86247,0.733597,12,13.472
nguyen2,1,58,0.86247,0.729059,12,13.842
nguyen2,1,59,0.86247,0.728567,12,13.967
nguyen2,1,60,0.86771,0.734206,14,14.166
nguyen2,1,61,0.86771,0.731925,14,14.332
nguyen2,1,62,0.86771,0.726529,14,14.453
nguyen2,1,63,0.86771,0.730152,17,14.678
nguyen2,1,64,0.86771,0.753677,15,14.837
nguyen2,1,65,0.86771,0.737197,18,15.14
nguyen2,1,66,0.86771,0.739245,15,15.193
nguyen2,1,67,0.86771,0.736204,14,15.311
nguyen2,1,68,0.86771,0.730555,16,15.257
nguyen2,1,69,0.86771,0.742752,17,15.326
nguyen2,1,70,0.86771,0.739954,14,15.475
nguyen2,1,71,0.86771,0.738562,17,15.52
nguyen2,1,72,0.86771,0.736553,12,15.547
nguyen2,1,73,0.86771,0.713289,11,15.632
nguyen2,1,74,0.86771,0.740638,14,15.774
nguyen2,1,75,0.86771,0.746581,14,15.793
nguyen2,1,76,0.86771,0.749946,14,15.885
nguyen2,1,77,0.86771,0.740539,14,15.936
nguyen2,1,78,0.86771,0.74611,11,15.962
nguyen2,1,79,0.86771,0.733487,12,16.002
nguyen2,1,80,0.86771,0.742605,18,15.904
nguyen2,1,81,0.86771,0.748435,14,15.838
nguyen2,1,82,0.86771,0.746975,14,15.812
nguyen2,1,83,0.86771,0.740134,13,15.738
nguyen2,1,84,0.86771,0.740709,15,15.809
nguyen2,1,85,0.86771,0.742592,10,15.812
nguyen2,1,86,0.86771,0.723852,15,15.894
nguyen2,1,87,0.86771,0.74817,14,15.825
nguyen2,1,88,0.86771,0.732855,15,15.92
nguyen2,1,89,0.86771,0.729865,17,15.83
nguyen2,1,90,0.86771,0.729604,14,15.955
nguyen2,1,91,0.86771,0.741552,16,15.866
nguyen2,1,92,0.86771,0.740543,15,15.776
nguyen2,1,93,0.86771,0.742006,14,15.948
nguyen2,1,94,0.86771,0.755414,20,16.077
nguyen2,1,95,0.86771,0.743894,15,16.043
nguyen2,1,96,0.86771,0.740598,18,16.195
nguyen2,1,97,0.86771,0.735271,17,16.14
nguyen2,1,98,0.86771,0.732924,18,15.999
nguyen2,1,99,0.86771,0.729743,14,15.951
nguyen2,1,100,0.86771,0.743824,14,15.99
nguyen2,1,101,0.86771,0.727131,16,15.875
nguyen2,1,102,0.86771,0.71768,15,15.869
nguyen2,1,103,0.86771,0.730905,16,15.763
nguyen2,1,104,0.86771,0.742357,16,15.963
nguyen2,1,105,0.86771,0.753553,15,15.901
nguyen2,1,106,0.86771,0.74522,17,15.905
nguyen2,1,107,0.86771,0.738279,14,15.977
nguyen2,1,108,0.86771,0.749126,16,15.95
nguyen2,1,109,0.86771,0.747805,14,15.959
nguyen2,1,110,0.86771,0.722782,14,15.849
nguyen2,1,111,0.86771,0.734913,17,15.755
nguyen2,1,112,0.86771,0.727497,14,15.789
nguyen2,1,113,0.86771,0.732736,17,15.855
nguyen2,1,114,0.86771,0.742695,18,15.883
nguyen2,1,115,0.86771,0.755071,15,15.89
nguyen2,1,116,0.86771,0.747843,15,15.804
nguyen2,1,117,0.86771,0.74382,15,16.004
nguyen2,1,118,0.86771,0.748535,19,16.053
nguyen2,1,119,0.86771,0.729665,15,15.993
nguyen2,1,120,0.86771,0.736396,14,15.979
nguyen2,1,121,0.86771,0.730416,13,15.99
nguyen2,1,122,0.86771,0.734606,11,15.975
nguyen2,1,123,0.86771,0.750894,14,16.08
nguyen2,1,124,0.86771,0.742839,19,15.981
nguyen2,1,125,0.86771,0.744303,13,15.937
nguyen2,1,126,0.86771,0.744954,15,15.872
nguyen2,1,127,0.86771,0.731399,15,15.902
nguyen2,1,128,0.86771,0.742592,11,15.859
nguyen2,1,129,0.86771,0.747779,11,15.783
nguyen2,1,130,0.86771,0.733989,14,15.937
nguyen2,1,131,0.86771,0.733225,14,15.969
nguyen2,1,132,0.86771,0.725567,12,16.053
nguyen2,1,133,0.86771,0.747511,18,16.025
nguyen2,1,134,0.86771,0.739424,17,15.976
nguyen2,1,135,0.86771,0.740696,14,15.832
nguyen2,1,136,0.86771,0.741066,15,15.775
nguyen2,1,137,0.86771,0.742124,14,15.745
nguyen2,1,138,0.86771,0.746628,15,15.809
nguyen2,1,139,0.86771,0.731924,18,15.704
nguyen2,1,140,0.86771,0.726242,17,15.809
nguyen2,1,141,0.86771,0.736155,14,15.861
nguyen2,1,142,0.86771,0.729825,19,16.051
nguyen2,1,143,0.86771,0.747795,11,16.163
nguyen2,1,144,0.86771,0.738158,14,16.061
nguyen2,1,145,0.86771,0.741322,14,16.152
nguyen2,1,146,0.86771,0.737669,15,16.074
nguyen2,1,147,0.86771,0.740357,16,16.024
nguyen2,1,148,0.86771,0.727065,14,15.967
nguyen2,1,149,0.86771,0.744317,15,15.728
nguyen2,1,150,0.86771,0.740993,15,15.757
nguyen2,1,151,0.86771,0.744371,13,15.642
nguyen2,1,152,0.86771,0.741575,15,15.596
nguyen2,1,153,0.86771,0.735344,16,15.446
nguyen2,1,154,0.86771,0.740825,15,15.497
nguyen2,1,155,0.86771,0.734816,15,15.613
nguyen2,1,156,0.86771,0.741718,16,15.81
nguyen2,1,157,0.86771,0.756801,15,15.8
nguyen2,1,158,0.86771,0.732136,12,15.804
nguyen2,1,159,0.86771,0.737988,15,15.67
nguyen2,1,160,0.86771,0.726882,13,15.735
nguyen2,1,161,0.86771,0.741778,14,15.978
nguyen2,1,162,0.86771,0.729402,15,15.888
nguyen2,1,163,0.86771,0.739109,12,16.017
nguyen2,1,164,0.86771,0.74893,18,16.094
nguyen2,1,165,0.86771,0.746154,14,16.257
nguyen2,1,166,0.86771,0.743007,15,16.392
nguyen2,1,167,0.86771,0.739047,14,16.113
nguyen2,1,168,0.86771,0.745747,16,15.933
nguyen2,1,169,0.86771,0.733957,17,15.998
nguyen2,1,170,0.86771,0.736478,14,16.011
nguyen2,1,171,0.86771,0.730192,17,16.065
nguyen2,1,172,0.86771,0.73605,12,16.203
nguyen2,1,173,0.86771,0.749225,11,16.176
nguyen2,1,174,0.86771,0.746554,14,16.052
nguyen2,1,175,0.86771,0.753987,14,16.154
nguyen2,1,176,0.86771,0.756984,14,16.258
nguyen2,1,177,0.86771,0.735888,14,16.163
nguyen2,1,178,0.86771,0.7438,11,16.122
nguyen2,1,179,0.86771,0.756653,12,16.249
nguyen2,1,180,0.86771,0.742228,18,16.201
nguyen2,1,181,0.86771,0.736886,14,16.319
nguyen2,1,182,0.86771,0.745532,14,16.311
nguyen2,1,183,0.86771,0.759926,13,16.498
nguyen2,1,184,0.86771,0.759672,15,16.498
nguyen2,1,185,0.86771,0.754192,10,16.327
nguyen2,1,186,0.86771,0.756343,15,16.333
nguyen2,1,187,0.86771,0.738209,14,16.236
nguyen2,1,188,0.86771,0.75071,15,16.216
nguyen2,1,189,0.86771,0.743063,17,16.186
nguyen2,1,190,0.86771,0.741668,14,16.175
nguyen2,1,191,0.86771,0.727659,16,16.203
nguyen2,1,192,0.86771,0.745078,15,16.215
nguyen2,1,193,0.86771,0.731791,14,16.263
nguyen2,1,194,0.86771,0.767123,20,16.348
nguyen2,1,195,0.86771,0.740753,15,16.317
nguyen2,1,196,0.86771,0.748355,18,16.361
nguyen2,1,197,0.86771,0.737637,17,16.382
nguyen2,1,198,0.86771,0.729529,18,16.376
nguyen2,1,199,0.86771,0.725396,14,16.265
nguyen2,1,200,0.86771,0.746983,14,16.169
nguyen2,1,201,0.86771,0.731944,16,16.178
nguyen2,1,202,0.86771,0.75091,15,16.199
nguyen2,1,203,0.86771,0.745744,16,16.212
nguyen2,1,204,0.86771,0.743985,16,16.16
nguyen2,1,205,0.86771,0.728746,15,16.296
nguyen2,1,206,0.86771,0.741311,17,16.159
nguyen2,1,207,0.86771,0.741445,14,16.302
nguyen2,1,208,0.86771,0.741624,16,16.256
nguyen2,1,209,0.86771,0.730915,14,16.287
nguyen2,1,210,0.86771,0.741549,14,16.267
nguyen2,1,211,0.86771,0.741602,17,16.169
nguyen2,1,212,0.86771,0.757576,14,16.369
nguyen2,1,213,0.86771,0.749937,17,16.207
nguyen2,1,214,0.86771,0.753529,18,16.217
nguyen2,1,215,0.86771,0.737674,15,16.124
nguyen2,1,216,0.86771,0.736073,15,16.006
nguyen2,1,217,0.86771,0.736177,15,15.923
nguyen2,1,218,0.86771,0.741398,19,15.836
nguyen2,1,219,0.86771,0.73181,15,15.995
nguyen2,1,220,0.86771,0.730118,14,15.973
nguyen2,1,221,0.86771,0.733762,13,16.04
nguyen2,1,222,0.86771,0.740409,11,16.162
nguyen2,1,223,0.86771,0.722602,14,16.04
nguyen2,1,224,0.86771,0.738854,19,15.997
nguyen2,1,225,0.86771,0.744122,13,16.011
nguyen2,1,226,0.86771,0.727798,15,16.124
nguyen2,1,227,0.86771,0.753424,15,16.247
nguyen2,1,228,0.86771,0.74702,11,16.246
nguyen2,1,229,0.86771,0.740791,11,16.311
nguyen2,1,230,0.86771,0.728957,14,16.228
nguyen2,1,231,0.86771,0.735932,14,16.039
nguyen2,1,232,0.86771,0.741695,12,16.012
nguyen2,1,233,0.86771,0.741237,18,15.898
nguyen2,1,234,0.86771,0.741793,17,15.885
nguyen2,1,235,0.86771,0.732376,14,16.047
nguyen2,1,236,0.86771,0.748055,15,16.247
nguyen2,1,237,0.86771,0.758616,14,16.192
nguyen2,1,238,0.86771,0.749869,15,16.106
nguyen2,1,239,0.86771,0.745713,18,16.066
nguyen2,1,240,0.86771,0.740867,17,16.041
nguyen2,1,241,0.86771,0.732071,14,16.002
nguyen2,1,242,0.86771,0.745973,19,16.133
nguyen2,1,243,0.86771,0.742932,11,16.305
nguyen2,1,244,0.86771,0.732223,14,16.2
nguyen2,1,245,0.86771,0.720993,14,16.217
nguyen2,1,246,0.86771,0.750326,15,16.207
nguyen2,1,247,0.86771,0.729345,16,16.158
nguyen2,1,248,0.86771,0.734032,14,16.096
nguyen2,1,249,0.86771,0.736669,15,16.282
nguyen2,1,250,0.86771,0.743733,15,16.52
nguyen2,1,251,0.86771,0.743725,13,16.447
nguyen2,1,252,0.867882,0.742365,19,16.638
nguyen2,1,253,0.867984,0.746372,20,16.537
nguyen2,1,254,0.867984,0.728697,20,16.49
nguyen2,1,255,0.867984,0.750304,20,16.492
nguyen2,1,256,0.867984,0.758282,20,16.438
nguyen2,1,257,0.867984,0.732,20,16.532
nguyen2,1,258,0.867984,0.743234,19,16.71
nguyen2,1,259,0.867984,0.74142,19,16.876
nguyen2,1,260,0.867984,0.717147,19,17.116
nguyen2,1,261,0.87191,0.698952,19,17.742
nguyen2,1,262,0.87191,0.70363,19,18.687
nguyen2,1,263,0.87191,0.701074,19,19.349
nguyen2,1,264,0.87191,0.713763,19,19.536
nguyen2,1,265,0.87191,0.723623,17,19.76
nguyen2,1,266,0.87191,0.740135,18,19.921
nguyen2,1,267,0.87191,0.721761,21,19.865
nguyen2,1,268,0.881231,0.721545,21,19.685
nguyen2,1,269,0.881231,0.736863,21,19.586
nguyen2,1,270,0.881231,0.724154,22,19.616
nguyen2,1,271,0.881231,0.727247,23,19.684
nguyen2,1,272,0.881231,0.741303,22,20.044
nguyen2,1,273,0.881231,0.741606,23,20.29
nguyen2,1,274,0.881231,0.732779,22,20.667
nguyen2,1,275,0.881231,0.735276,16,21.016
nguyen2,1,276,0.881231,0.742885,19,21.225
nguyen2,1,277,0.881231,0.758355,23,21.505
nguyen2,1,278,0.886162,0.751901,17,21.632
nguyen2,1,279,0.886162,0.74771,17,21.743
nguyen2,1,280,0.886162,0.752865,17,21.81
nguyen2,1,281,0.886162,0.746137,17,21.958
nguyen2,1,282,0.886162,0.732099,17,22.013
nguyen2,1,283,0.886162,0.741384,18,22.008
nguyen2,1,284,0.886162,0.738647,17,22.028
nguyen2,1,285,0.886162,0.738988,17,21.577
nguyen2,1,286,0.886162,0.723788,23,21.188
nguyen2,1,287,0.886162,0.677693,18,20.625
nguyen2,1,288,0.886162,0.668928,19,20.186
nguyen2,1,289,0.886162,0.643564,17,19.615
nguyen2,1,290,0.886162,0.639955,17,19.448
nguyen2,1,291,0.886162,0.635836,17,19.327
nguyen2,1,292,0.886162,0.621401,17,19.415
nguyen2,1,293,0.886162,0.612354,17,19.356
nguyen2,1,294,0.886162,0.643024,17,19.332
nguyen2,1,295,0.886162,0.640262,18,19.284
nguyen2,1,296,0.886162,0.655338,17,19.291
nguyen2,1,297,0.886162,0.652729,17,19.1
nguyen2,1,298,0.886162,0.640257,23,19.179
nguyen2,1,299,0.886162,0.627043,17,19.214
nguyen2,1,300,0.886162,0.650464,17,19.273
nguyen2,1,301,0.886162,0.650485,22,19.326
nguyen2,1,302,0.886162,0.655039,18,19.27
nguyen2,1,303,0.886162,0.65016,17,19.377
nguyen2,1,304,0.886162,0.63891,17,19.259
nguyen2,1,305,0.886162,0.633843,23,19.332
nguyen2,1,306,0.886162,0.637724,17,19.466
nguyen2,1,307,0.886162,0.643348,25,19.638
nguyen2,1,308,0.886162,0.652365,18,19.64
nguyen2,1,309,0.886162,0.639859,17,19.577
nguyen2,1,310,0.886162,0.642787,17,19.685
nguyen2,1,311,0.886162,0.653376,17,19.727
nguyen2,1,312,0.886162,0.641074,17,19.833
nguyen2,1,313,0.886162,0.658987,23,19.751
nguyen2,1,314,0.886162,0.66366,17,19.824
nguyen2,1,315,0.886162,0.667003,17,19.813
nguyen2,1,316,0.886162,0.657141,17,19.759
nguyen2,1,317,0.886162,0.635983,23,19.724
nguyen2,1,318,0.886162,0.654791,17,19.835
nguyen2,1,319,0.886162,0.649492,23,19.946
nguyen2,1,320,0.886162,0.669974,17,20.022
nguyen2,1,321,0.886162,0.656285,17,19.863
nguyen2,1,322,0.886162,0.653272,18,19.949
nguyen2,1,323,0.886162,0.635417,17,19.976
nguyen2,1,324,0.886162,0.643666,17,19.999
nguyen2,1,325,0.886162,0.638197,18,20.082
nguyen2,1,326,0.886165,0.640005,19,19.976
nguyen2,1,327,0.886165,0.652806,19,19.845
nguyen2,1,328,0.886165,0.654129,19,19.873
nguyen2,1,329,0.886165,0.656806,19,20.031
nguyen2,1,330,0.886165,0.642735,19,19.885
nguyen2,1,331,0.886165,0.659934,20,20.064
nguyen2,1,332,0.886165,0.651771,20,20.087
nguyen2,1,333,0.886165,0.656352,19,20.157
nguyen2,1,334,0.886165,0.655535,20,20.394
nguyen2,1,335,0.886165,0.643034,17,20.371
nguyen2,1,336,0.886165,0.641266,18,20.34
